آزوقه,آذوقه
آروغ,آروق
آقا,آغا
اتاق,اطاق
اتو,اطو
اختاپوس,اختاپوث
اسطبل,اصطبل
اسطرلاب,اصطرلاب
افسنتین,افسنطین
اَلَم‌شنگه,عَلَم‌شنگه
امپراتور,امپراطور
امپراتریس,امپراطریس
اُتراق,اطراق
باباغوری,باباقوری
باتری,باطری
باتلاق,باطلاق
باجناغ,باجناق
بغچه,بقچه
بلغور,بلقور
بلیت,بلیط
پاتوق,پاتوغ
ترق‌وتوروق,تاراغ‌وتوروغ
تارم,طارم
تنبور,طنبور
تاس,طاس
تاس‌کباب,طاس‌کباب
تاغ,تاق
تاق,طاق
تاق,طاق
تاقدیس,طاقدیس
تالار,طالار
تاول,طاول
تایر,طایر
تباشیر,طباشیر
تبرخون,طبرخون
تبرزد,طبرزد
تبرزین,طبرزین
تپانچه,طپانچه
تپیدن,طپیدن
تُپق,طُپق,تُپغ
تُتماج,طُطماج
تراز,طراز
تراز,طراز
ترخون,طرخون
ترقّه,طرقّه
تشت,طشت
تغار,طغار
توبیقا,طوبیقا
توفان,طوفان
چارق,چارغ
چلغوز,چلقوز
ختمی,خطمی
دوقلو,دوغلو
زغال,ذغال
سوغات,سوقات
غلتیدن,غلطیدن
قاتی,قاطی
قاروقور,غاروغور
قباد,غباد
قدّاره,غدّاره
قُدقُد,غُدغُد
قدغن,غدغن,غدقن
قراقروت,قراقروط
قرتی,غرتی
قرشمال,غرشمال
قُرُق,غُرُق
قرمه,غرمه,قورمه
قروش,غروش
قشقرق,غشغرق
قفس,قفص
قُلُپ,غُلُپ
قلنبه,غلنبه
قلیان,غلیان
قورباغه,غورباغه
قورت,غورت
قوطی,قوتی
قِیقاج,غِیقاج
قِیماق,قِیماغ
لاتاری,لاطاری
لق,لغ
لق‌ولوق,لغ‌ولوغ
لق‌لق,لغ‌لغ
لوطی,لوتی
ملات,ملاط
ناسور,ناصور
نسطوری,نستوری
نِق‌نِق,نِغ‌نِغ
نفت‌,نفط
نفتالین,نفطالین
ورغُلُمبیدن,ورقُلُمبیدن
وَق‌وَق,وَغ‌وَغ
هلیم,حلیم
هوله,حوله
هیز,حیز
یاتاقان,یاطاقان
یالقوز,یالغوز
یغور,یقور
