ابا,ایین‌نامه‌بتن‌ایران
ابفا,اب‌و‌فاضلاب
اجا,ارتش‌جمهوری‌اسلامی‌ایران
ازما,ازمون‌استخدامی‌متمرکز‌ادواری
اپ,اسان‌پرداخت
ابلی,ابوالقاسم
اتسا,انجمن‌تکفل‌و‌سرپرستی‌ایتام
اتکا,اداره‌تدارکات‌کارمندان‌ارتش
ارس,اپلیکیشن‌رمز‌ساز
استصنا,انجمن‌سازندگان‌تجهیزات‌صنعت‌نفت‌ایران
امک,اتحاد‌مبارزان‌کمونیست
امکان,اتحادیه‌ی‌مرکزی‌تعاونی‌های‌مصرف‌کارگران‌ایران
اکا,انجمن‌کوررنگان‌ایران
بام,بانکداری‌الکترونیک‌ملی
باکو,بادکوبه
بتاجا,بنیاد‌تعاون‌ارتش‌جمهوری‌اسلامی
برجام,برنامه‌جامع‌اقدام‌مشترک
بهسامان,بهینه‌سازی‌مصرف‌انرژی
بکفا,برنامه‌ریزی‌کامپیوتری‌فرایند‌اموزشی
تات,تجربه‌‌اعتماد‌‌توسعه
تش‌باد,اتش‌باد
توانیر,تولید‌و‌انتقال‌نیروی‌برق‌ایران
ج ا ا,جمهوری‌اسلامی‌ایران
جاما,جنبش‌ازادی‌بخش‌ملی‌ایران
جداد,جهاد‌دانشگاه‌ازاد‌دماوند
جرس,جوانان‌رهپوی‌سعادت
جماران,جمع‌ماران
جمنا,جبهه‌مردمی‌نیروهای‌انقلاب‌اسلامی
جنگال,جنگ‌الکترونیک
حماس,حرکت‌مقاومت‌اسلامی
خاد,خدمات‌امنیت‌دولتی
خخخ,خنده
دا اف,دانشگاه‌افسری
دادح,داده‌‌اطلاعات‌‌دانش‌‌حکمت
دارا,درگاه‌الکترونیکی‌سهامداران
داعا,دانشگاه‌عالی‌دفاع‌ملی
داعش,دولت‌اسلامی‌عراق‌و‌شام
دافوس,دانشکده‌فرماندهی‌و‌ستاد
ذر,اذر
رافع,رشد‌استعداد‌های‌فرزندان‌علی
راهور,راهنمایی‌و‌رانندگی
رجا,راه‌اهن‌جمهوری‌اسلامی‌ایران
رسا,رهاورد‌سازندگی‌ازادگان
رسا,رفتار‌سازمانی
ره,رحمة‌الله‌علیه
ریت,ریتوییت
زری,زهرا
س,سلام‌الله‌علیها
سابا,سازمان‌بهره‌وری‌انرژی‌ایران
ساتا,سازمان‌تامین‌اجتماعی
ساتنا,سامانه‌تسویه‌ناخالص‌انی
ساتکاب,ساخت‌و‌تهیه‌ی‌کالاهای‌اب‌و‌برق
ساج,سیستم‌اطلاعات‌جغرافیایی
ساجا,سازمان‌ارتش‌جمهوری‌اسلامی
ساجب,سازمان‌جهانی‌بهداشت
ساحادم,سازمان‌حفظ‌اثار‌و‌نشر‌ارزش‌های‌دفاع‌مقدس
ساحفاجا,سازمان‌حفاظت‌اطلاعات‌ارتش‌جمهوری‌اسلامی‌ایران
سادا,سازمان‌اسلامی‌دانشجویان‌ایران
ساصد,سازمان‌صنایع‌دفاع
ساعس ارتش جمهوری اسلامی ایران,سازمان‌عقیدتی‌سیاسی‌نیروی‌انتظامی‌جمهوری‌اسلامی‌ایران
ساف,سازمان‌ازادی‌بخش‌فلسطین
ساما,سیستم‌اموزش‌مدارس‌ایثارگران
ساما,سامانه‌اطلاعات‌موثر‌اشخاص
سانا,سازمان‌انرژی‌های‌نو‌ایران
ساها,ﺳرویس‌ارتباط‌هوایی‌ارتش
ساها,سامانه‌ازمایشگاه‌های‌همکار‌ازاد
ساواک,سازمان‌امنیت‌و‌اطلاعات‌کشور
ساپتا,سامانه‌ارسال‌پیام‌کوتاه‌به‌مشتریان
ساکو,کوه‌صاف
سبا,سیستم‌بانکداری‌اینترنتی
سجا,سامانه‌جامع‌امور‌شاهد‌و‌ایثارگران
سجاد,سیستم‌جامع‌اموزشی‌دانشگاه
سجام,سامانه‌جامع‌اطلاعات‌مشتریان
سرط,سامانه‌های‌راهبردی‌طراحان
سما,سازمان‌مدارس‌دانشگاه‌ازاد‌اسلامی
سمات,سپرده‌گذاری‌مرکزی‌اوراق‌بهادار‌و‌تسویه‌وجوه
سماجا,ستاد‌مشترک‌ارتش‌جمهوری‌اسلامی‌ایران
سماح,ساماندهی‌مشتاغان‌ایام‌حضور‌در‌اعتاب‌مقدسه
سماس,سامانه‌مدیریت‌الکترونیکی‌سلامت
سمباد,سمینار‌موردی‌در‌بهداشت‌و‌درمان
سمت,سازمان‌مطالعه‌و‌تدوین
سمن,سازمان‌مردم‌‌نهاد
سمپ,سرعنوان‌های‌موضوعی‌پزشکی
سمپاد,سازمان‌ملی‌پرورش‌استعدادهای‌درخشان
سنا,سامانه‌نظارت‌ارزی
سناد,سامانه‌نام‌نویسی‌الکترونیکی‌دانش‌اموزان
سنهاب,سامانه‌نظارت‌و‌هدایت‌الکترونیکی‌بیمه
سوک,سازمان‌وحدت‌کمونیستی
سپهر,سازمان‌دهی‌‌پرورش‌‌هدایت‌‌رشد
سپهر,سیستم‌پردازش‌همزمان‌رایانه‌ای
سپکا,سگ‌های‌پلیس‌کار‌ازموده
سیبا,سیستم‌یکپارچه‌بانک‌ملی‌ایران
